Activity,Country,Implementing_agency,Sector,Funding_ac,Transaction_type,Fiscal_year,Current_amount
"Protection, Assistance and Solutions",Eastern Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, International Disaster Assistance",Obligations,2017,1161
OE TRUSFUNDS COR,Middle East Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2001,1160
Program Support (Civil Society),Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2007,1158
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2017,1155
Administration and Oversight,Middle East Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2017,1150
Administration and Oversight,Middle East Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2016,1150
Administration and Oversight (Environment),West Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2014,1148
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2012,1148
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2016,1145
Family Planning and Reproductive Health,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Obligations,2016,1143
Program Support (Financial Sector),West Africa Region,U.S. Agency for International Development,Banking and Financial Services,"Agency for International Development, Development Assistance",Obligations,2015,1140
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2010,1133
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Assistance Program, Transition Initiatives",Disbursements,2017,1131
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Assistance Program, Transition Initiatives",Obligations,2017,1131
Regional Economic Growth & Integration,Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2014,1128
Program Design and Learning,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2012,1127
Administration and Oversight (Trade),Eastern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Obligations,2012,1125
Program Support (Governance),Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2012,1121
Program Support (Governance),Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2012,1121
CONSERVATION OF TWO PROPERTIES FOR NMB ON THE APPALACHIAN CORRIDOR,Western Hemisphere Region,Department of the Interior,General Environmental Protection,"U.S. Fish and Wildlife Service, Neotropical Migratory Bird Conservation",Disbursements,2017,1118
98 SO1: INCREASED REGIONAL CAPACITY TO INFLUENCE DEMOCRATIC,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance, Sub-Saharan Africa",Disbursements,2002,1113
HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2012,1112
Program Design and Learning,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2014,1110
Program Support (Infrastructure),West Africa Region,U.S. Agency for International Development,Transport and Storage,"Agency for International Development, Development Assistance",Obligations,2008,1105
PRIME 3.2 Web Services Support (AT&T),West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2007,1104
PRIME 3.2 Web Services Support (AT&T),West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Child Survival and Health Programs Fund",Obligations,2006,1104
